Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
633,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
634,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
635,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
636,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
637,0.597196,1.267425,2.155203,-0.981444,-1.800825,1
638,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
639,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
640,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
641,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
642,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
643,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
644,1.792671,1.898917,0.023374,-0.563528,-4.007998,0
645,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
646,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
647,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
648,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
649,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
650,1.437891,1.898021,0.137858,-0.454119,-6.364299,0
651,1.447355,1.909077,0.130421,-0.432993,-6.406539,0
652,1.500721,1.887885,0.022629,-0.338585,-6.652612,0
653,1.532035,1.898051,0.016559,-0.325912,-6.747926,0
654,1.998004,1.931254,0.465533,-0.000000,-6.971876,0
655,1.999456,1.822018,0.465533,-0.000000,-6.976429,0
656,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
657,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
658,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
659,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
660,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
661,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
662,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
663,1.532035,1.898051,0.016907,-0.325912,-6.747926,0
664,0.596250,1.270608,2.155203,-0.990779,-1.797482,1
665,1.532035,1.949236,0.112873,-0.394927,-6.620184,0
666,1.997867,2.118807,0.465533,-0.000000,-6.970860,0
667,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
668,1.537891,1.898051,0.016559,-0.306116,-6.787108,0
669,1.792671,1.898917,0.018816,-0.555889,-4.063165,0
670,1.998478,1.917992,0.465533,-0.000000,-6.972913,0
671,0.507445,2.159466,3.729155,-0.996460,-1.577145,1
672,0.744075,1.270657,0.681536,-0.577336,-3.685140,0
673,1.437891,1.887302,0.142426,-0.480194,-6.315638,0
674,1.997867,1.922864,0.448413,-0.000000,-6.970860,0
675,1.998163,1.930600,3.711743,-0.000000,-6.981478,0
676,1.532969,1.931254,0.003046,-0.166945,-6.719608,0
677,1.421278,1.887885,0.022629,-0.168074,-6.367443,0
678,0.504447,2.135762,3.711743,-0.975643,-1.568280,1
679,1.838949,1.898917,0.023374,-0.519550,-3.303383,0
680,1.370916,1.887302,0.137858,-0.225975,-6.116993,0
681,1.792671,1.931396,0.023374,-0.478170,-4.799327,0
682,1.997867,1.931254,0.465533,-0.000000,-6.970860,0
683,1.500721,1.943017,0.022629,-0.137209,-6.597970,0
684,0.596250,1.440541,2.273085,-0.731324,-0.069859,0
685,1.991318,1.897435,3.779560,-0.000000,-6.957912,0
686,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
687,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
688,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
689,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
690,0.597196,1.267425,2.155203,-0.981444,-1.800825,1
691,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
692,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
693,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
694,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
695,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
696,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
697,1.792671,1.898917,0.023374,-0.563528,-4.007998,0
698,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
699,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
700,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
701,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
702,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
703,1.447355,1.909077,0.130421,-0.432993,-6.406539,0
704,1.500721,1.887885,0.022629,-0.338585,-6.652612,0
705,1.532035,1.898051,0.016559,-0.325912,-6.747926,0
706,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
707,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
708,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
709,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
710,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
711,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
712,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
713,1.532035,1.898051,0.016907,-0.325912,-6.747926,0
714,0.596250,1.270608,2.155203,-0.990779,-1.797482,1
715,1.532035,1.949236,0.112873,-0.394927,-6.620184,0
716,1.997867,2.118807,0.465533,-0.000000,-6.970860,0
717,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
718,1.792671,1.898917,0.018816,-0.555889,-4.063165,0
719,1.999856,1.929064,4.581860,-0.000000,-6.986497,0
720,1.793663,1.898917,0.018816,-0.557427,-4.063164,0
721,1.999815,1.887304,4.203001,-0.000000,-6.986497,0
722,1.999860,1.922626,0.448413,-0.000000,-6.977430,0
723,1.998163,1.794954,0.371820,-0.000000,-6.972412,0
724,1.999815,1.898017,2.153714,-0.000000,-6.986497,0
725,1.538881,1.898051,0.016559,-0.306231,-6.790749,0
726,1.437891,1.898016,0.137858,-0.454149,-6.364299,0
727,1.999815,1.897924,4.203001,-0.000000,-6.986497,0
728,1.512626,1.887885,0.022648,-0.337958,-6.707007,0
729,1.780767,1.931396,0.023355,-0.495007,-5.096092,0
730,1.998620,1.898051,4.257306,-0.000000,-6.982632,0
731,0.507445,2.159466,3.729155,-0.996460,-1.577145,1
732,0.744075,1.270657,0.681536,-0.577336,-3.685140,0
733,1.437891,1.887302,0.142426,-0.480194,-6.315638,0
734,1.537891,1.898051,0.016559,-0.306116,-6.787108,0
735,1.997867,1.922864,0.448413,-0.000000,-6.970860,0
736,1.500721,1.889237,0.022629,-0.331304,-6.652612,0
737,1.437891,1.898021,0.137858,-0.454119,-6.364299,0
738,1.999456,1.822018,0.465533,-0.000000,-6.976429,0
739,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
740,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
741,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
742,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
743,0.597196,1.267425,2.155203,-0.981444,-1.800825,1
744,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
745,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
746,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
747,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
748,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
749,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
750,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
751,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
752,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
753,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
754,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
755,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
756,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
757,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
758,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
759,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
760,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
761,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
762,0.596250,1.270608,2.155203,-0.990779,-1.797482,1
763,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
764,1.999856,1.929064,4.581860,-0.000000,-6.986497,0
765,1.999815,1.887304,4.203001,-0.000000,-6.986497,0
766,1.999860,1.922626,0.448413,-0.000000,-6.977430,0
767,1.998163,1.794954,0.371820,-0.000000,-6.972412,0
768,1.999815,1.898017,2.153714,-0.000000,-6.986497,0
769,1.999815,1.897924,4.203001,-0.000000,-6.986497,0
770,1.537891,1.898051,0.040241,-0.459685,-6.746680,0
771,1.548182,1.898051,0.016559,-0.325219,-6.816884,0
772,1.532035,1.896784,0.016054,-0.332670,-6.747926,0
773,1.801855,1.898917,0.018816,-0.577203,-4.063167,0
774,1.780767,1.931255,0.023355,-0.495858,-5.096092,0
775,1.997867,2.120074,0.468036,-0.000000,-6.970860,0
776,1.447355,1.909077,0.158556,-0.486173,-6.354074,0
777,1.999815,2.001324,4.257273,-0.000000,-6.986497,0
778,0.507445,2.159466,3.729155,-0.996460,-1.577145,1
779,1.999467,1.820559,4.075600,-0.000000,-6.985496,0
780,0.596143,1.439068,2.155203,-0.933611,-3.125382,1
781,0.755235,1.279137,0.681751,-0.672725,-3.698367,1
782,1.780767,1.931396,0.023355,-0.495007,-5.096092,0
783,1.538881,1.898051,0.016559,-0.306231,-6.790749,0
784,1.997867,2.118807,0.465533,-0.000000,-6.970860,0
785,0.604467,1.226038,2.155203,-0.977516,-1.824111,1
786,1.792671,1.898917,0.018816,-0.555889,-4.063165,0
787,1.437891,1.887302,0.142426,-0.480194,-6.315638,0
788,1.792671,1.898917,0.023374,-0.563528,-4.007998,0
789,1.500721,1.869173,0.022629,-0.434260,-6.639394,0
790,1.500721,1.887885,0.022629,-0.338585,-6.652612,0
791,1.437891,1.898016,0.137858,-0.454149,-6.364299,0
792,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
793,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
794,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
795,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
796,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
797,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
798,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
799,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
800,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
801,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
802,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
803,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
804,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
805,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
806,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
807,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
808,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
809,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
810,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
811,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
812,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
813,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
814,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
815,1.999856,1.929064,4.581860,-0.000000,-6.986497,0
816,1.999815,1.887304,4.203001,-0.000000,-6.986497,0
817,1.999860,1.922626,0.448413,-0.000000,-6.977430,0
818,1.998163,1.794954,0.371820,-0.000000,-6.972412,0
819,1.999815,1.898017,2.153714,-0.000000,-6.986497,0
820,1.999815,1.897924,4.203001,-0.000000,-6.986497,0
821,1.537891,1.898051,0.040241,-0.459685,-6.746680,0
822,1.548182,1.898051,0.016559,-0.325219,-6.816884,0
823,1.532035,1.896784,0.016054,-0.332670,-6.747926,0
