Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
156,1.98,4.31,100,1.00,2.56,10.00,4.00,4.09,-1
157,1.98,4.31,100,1.00,2.60,10.00,4.00,4.09,-1
158,1.98,4.31,100,1.00,2.67,10.00,4.00,5.09,-1
159,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
160,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
161,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
162,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
163,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
164,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
165,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
166,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
167,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
168,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
169,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
170,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
171,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
172,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
173,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
174,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
175,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
176,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
177,1.98,4.31,100,1.00,1.96,10.00,4.00,6.60,-1
178,1.98,4.31,100,1.00,1.70,10.00,4.00,7.40,-1
179,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
180,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
181,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
182,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
183,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
184,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
185,1.98,4.31,100,1.00,1.66,10.00,4.00,7.16,-1
186,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
187,1.98,4.31,100,1.00,1.62,10.00,4.00,6.85,-1
188,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
189,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
190,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
191,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
192,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
193,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
194,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
195,1.98,4.31,100,1.00,1.56,10.00,4.00,6.91,-1
196,1.98,4.31,100,1.00,2.31,10.00,4.00,5.64,-1
197,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
198,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
199,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
200,1.98,4.31,100,1.00,2.75,10.00,4.00,3.72,-1
201,1.98,4.31,100,0.00,0.00,0.16,3.00,10.00,-1
202,1.98,4.31,100,1.00,1.88,10.00,4.00,5.25,-1
203,1.98,4.31,100,0.00,0.00,0.85,3.00,10.00,-1
204,1.98,4.31,100,0.00,0.00,0.33,3.00,10.00,-1
205,1.98,4.31,100,1.00,3.18,0.32,4.00,7.63,-1
206,1.98,4.31,100,0.00,0.00,0.10,3.00,10.00,-1
207,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
208,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
209,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
210,1.98,4.31,100,1.00,1.88,10.00,4.00,5.25,-1
211,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
212,1.98,4.31,100,1.00,2.75,10.00,4.00,3.72,-1
213,1.98,4.31,100,1.00,3.99,10.00,4.00,3.27,-1
214,1.98,4.31,100,1.00,3.99,10.00,4.00,3.27,-1
215,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
216,1.98,4.31,100,0.00,0.00,0.82,3.00,10.00,-1
217,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
218,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
219,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
220,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
221,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
222,1.98,4.31,100,1.00,1.84,10.00,4.00,5.50,-1
223,1.98,4.31,100,1.00,1.86,10.00,4.00,5.48,-1
224,1.98,4.31,100,1.00,3.18,10.00,4.00,3.43,-1
225,1.98,4.31,100,1.00,2.82,10.00,4.00,3.67,-1
226,1.98,4.31,100,0.00,0.00,0.15,3.00,10.00,-1
227,1.98,4.31,100,1.00,3.26,10.00,4.00,3.81,-1
228,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
229,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
