Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
213,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
214,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
215,1.98,4.31,100,1.00,2.30,10.00,4.00,4.49,-1
216,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
217,1.98,4.31,100,1.00,2.06,0.01,4.00,7.62,-1
218,1.98,4.31,100,0.00,0.00,0.19,3.00,10.00,-1
219,1.98,4.31,100,0.00,0.00,0.25,3.00,10.00,-1
220,1.98,4.31,100,1.00,1.94,10.00,4.00,5.51,-1
221,1.98,4.31,100,0.00,0.00,0.23,3.00,10.00,-1
222,1.98,4.31,100,1.00,1.77,10.00,4.00,7.32,-1
223,1.98,4.31,100,0.00,0.00,0.23,3.00,10.00,-1
224,1.98,4.31,100,0.00,0.00,0.23,3.00,10.00,-1
225,1.98,4.31,100,1.00,0.44,0.01,4.00,6.43,-1
226,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
227,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
228,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
229,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
230,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
231,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
232,1.98,4.31,100,1.00,3.60,0.35,4.00,6.48,-1
233,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
234,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
235,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
236,1.98,4.31,100,1.00,3.61,0.35,4.00,6.45,-1
237,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
238,1.98,4.31,100,1.00,3.71,0.36,4.00,6.51,-1
239,1.98,4.31,100,1.00,3.65,0.35,4.00,6.57,-1
240,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
241,1.98,4.31,100,1.00,2.15,0.02,4.00,7.64,-1
242,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
243,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
244,1.98,4.31,100,1.00,3.70,0.36,4.00,6.49,-1
245,1.98,4.31,100,1.00,2.06,0.01,4.00,7.64,-1
246,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
247,1.98,4.31,100,1.00,3.75,0.35,4.00,6.52,-1
248,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
249,1.98,4.31,100,1.00,2.30,10.00,4.00,4.49,-1
250,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
251,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
252,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
253,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
254,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
255,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
256,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
257,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
258,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
259,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
260,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
261,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
262,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
263,1.98,4.31,100,1.00,2.25,0.02,4.00,7.63,-1
264,1.98,4.31,100,1.00,3.61,0.35,4.00,6.45,-1
265,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
266,1.98,4.31,100,1.00,3.57,0.34,4.00,6.49,-1
267,1.98,4.31,100,1.00,2.07,0.01,4.00,7.63,-1
268,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
269,1.98,4.31,100,1.00,3.60,0.35,4.00,6.48,-1
270,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
271,1.98,4.31,100,1.00,3.61,0.35,4.00,6.47,-1
272,1.98,4.31,100,1.00,2.15,0.02,4.00,7.64,-1
273,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
274,1.98,4.31,100,1.00,3.65,0.35,4.00,6.57,-1
275,1.98,4.31,100,1.00,3.70,0.35,4.00,6.51,-1
276,1.98,4.31,100,1.00,3.66,0.35,4.00,6.57,-1
277,1.98,4.31,100,1.00,2.15,0.01,4.00,7.65,-1
278,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
279,1.98,4.31,100,1.00,3.71,0.36,4.00,6.51,-1
280,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
281,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
282,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
283,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
284,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
285,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
286,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
287,1.98,4.31,100,1.00,3.68,0.34,4.00,6.52,-1
288,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
289,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
290,1.98,4.31,100,1.00,2.25,0.02,4.00,7.63,-1
291,1.98,4.31,100,1.00,3.61,0.35,4.00,6.45,-1
292,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
293,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
294,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
295,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
296,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
297,1.98,4.31,100,1.00,2.07,0.01,4.00,7.63,-1
298,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
299,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
300,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
301,1.98,4.31,100,1.00,3.58,0.34,4.00,6.47,-1
302,1.98,4.31,100,1.00,3.60,0.35,4.00,6.48,-1
303,1.98,4.31,100,1.00,3.67,0.35,4.00,6.50,-1
304,1.98,4.31,100,1.00,2.15,0.02,4.00,7.64,-1
305,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
306,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
307,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
308,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
309,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
310,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
311,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
312,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
313,1.98,4.31,100,1.00,3.68,0.34,4.00,6.52,-1
314,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
315,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
316,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
317,1.98,4.31,100,1.00,3.68,0.34,4.00,6.52,-1
318,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
319,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
320,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
321,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
322,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
323,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
324,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
325,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
326,1.98,4.31,100,1.00,2.51,0.01,4.00,7.65,-1
327,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
328,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
329,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
330,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
331,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
332,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
333,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
334,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
335,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
336,1.98,4.31,100,1.00,3.61,0.34,4.00,6.48,-1
337,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
338,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
339,1.98,4.31,100,1.00,3.60,0.35,4.00,6.49,-1
340,1.98,4.31,100,1.00,3.57,0.34,4.00,6.44,-1
341,1.98,4.31,100,1.00,3.61,0.35,4.00,6.47,-1
342,1.98,4.31,100,1.00,3.61,0.34,4.00,6.48,-1
343,1.98,4.31,100,1.00,2.82,0.01,4.00,7.87,-1
344,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
345,1.98,4.31,100,1.00,2.60,0.01,4.00,7.66,-1
346,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
347,1.98,4.31,100,1.00,3.65,0.34,4.00,6.50,-1
348,1.98,4.31,100,1.00,3.65,0.35,4.00,6.51,-1
349,1.98,4.31,100,1.00,2.61,0.01,4.00,7.66,-1
350,1.98,4.31,100,1.00,3.65,0.34,4.00,6.50,-1
351,1.98,4.31,100,1.00,3.61,0.35,4.00,6.50,-1
352,1.98,4.31,100,1.00,3.57,0.35,4.00,6.49,-1
353,1.98,4.31,100,1.00,2.15,0.01,4.00,7.63,-1
354,1.98,4.31,100,1.00,2.15,0.02,4.00,7.61,-1
355,1.98,4.31,100,1.00,3.57,0.35,4.00,6.46,-1
356,1.98,4.31,100,1.00,2.15,0.02,4.00,7.61,-1
357,1.98,4.31,100,1.00,3.64,0.35,4.00,6.48,-1
358,1.98,4.31,100,1.00,1.89,0.01,4.00,7.61,-1
359,1.98,4.31,100,1.00,1.89,0.01,4.00,7.59,-1
360,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
361,1.98,4.31,100,1.00,3.70,0.34,4.00,6.52,-1
362,1.98,4.31,100,1.00,1.89,0.01,4.00,7.61,-1
363,1.98,4.31,100,1.00,3.76,0.36,4.00,6.55,-1
364,1.98,4.31,100,1.00,1.89,0.01,4.00,7.61,-1
365,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
366,1.98,4.31,100,0.00,0.00,0.25,3.00,10.00,-1
367,1.98,4.31,100,1.00,1.79,10.00,4.00,6.26,-1
368,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
369,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
370,1.98,4.31,100,0.00,0.00,0.18,3.00,10.00,-1
371,1.98,4.31,100,1.00,3.68,0.34,4.00,6.52,-1
372,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
373,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
374,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
375,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
376,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
377,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
378,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
379,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
380,1.98,4.31,100,1.00,2.51,0.01,4.00,7.65,-1
381,1.98,4.31,100,1.00,3.53,0.34,4.00,6.48,-1
382,1.98,4.31,100,1.00,3.60,0.35,4.00,6.48,-1
383,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
384,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
385,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
386,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
387,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
388,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
389,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
390,1.98,4.31,100,1.00,3.60,0.34,4.00,6.49,-1
391,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
392,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
393,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
394,1.98,4.31,100,1.00,3.57,0.35,4.00,6.46,-1
